VIN,year,znamka,model,state,city,price,miles,accidents,use,owners,MPG_city,MPG_highway,engine,transmission,drive_type,exterior,interior
WBA53AP0XNCJ15037,2022,bmw,4-series,FL,Naples,49000,3891,0,Personal,1,25,34,2.0L Inline-4 Gas Turbocharged,Automatic,RWD,Black,Beige
5UXTR9C53KLE15539,2019,bmw,x3,IN,Fishers,37850,21144,1,Personal,1,22,29,2.0L Inline-4 Gas Turbocharged,Automatic,AWD,Black,Black
3MW5R1J0XL8B22159,2020,bmw,3-series,LA,Breaux Bridge,27980,61129,0,Personal,1,26,36,2.0L Inline-4 Gas Turbocharged,Automatic,RWD,Black,Beige
3MW5R1J02M8B47882,2021,bmw,3-series,CA,Roseville,37795,19195,0,Personal,1,26,36,2.0L Inline-4 Gas Turbocharged,Automatic,RWD,White,Black
WBAKE5C5XDJ107746,2013,bmw,3-series,AZ,Avondale,13900,95546,0,Personal,3,18,28,3.0L Inline-6 Gas,Automatic,RWD,White,Black
4USCN33402LK51093,2002,bmw,z3,NJ,Lawrenceville,13994,61552,1,Personal,4,20,27,2.5L Inline-6 Gas,Manual,RWD,Blue,Unknown
WBA3A5C52FF609723,2015,bmw,3-series,FL,Miami Gardens,13988,80048,1,Fleet,3,23,35,2.0L Inline-4 Gas Turbocharged,Automatic,RWD,White,Beige
5UXWX9C58E0D42080,2014,bmw,x3,GA,Savannah,21000,46885,0,Personal,3,21,28,2.0L Inline-4 Gas Turbocharged,Automatic,AWD,Black,Black
5UXTY3C05M9F87978,2021,bmw,x3,FL,St. Petersburg,39992,40548,0,Personal,0,25,29,2.0L Inline-4 Gas Turbocharged,Automatic,RWD,White,Black
WBA7F0C53KGM24381,2019,bmw,7-series,NC,Raleigh,55978,11104,0,Personal,3,18,26,4.4L V-8 Gas Turbocharged,Automatic,RWD,Silver,Black
WBAJE5C59KWW02872,2019,bmw,5-series,TX,Hutto,33388,72978,0,Personal,2,21,29,3.0L Inline-6 Gas Turbocharged,Automatic,RWD,White,Brown
5UXCR6C05P9P21209,2023,bmw,x5,TX,Grapevine,70000,300,0,Personal,0,21,25,3.0L Inline-6 Gas Turbocharged,Automatic,AWD,White,Brown
WBA2J1C05L7E70544,2020,bmw,2-series,VA,Alexandria,33969,6588,0,Personal,1,24,32,2.0L Inline-4 Gas Turbocharged,Manual,RWD,Blue,Brown
WBA53AK0XM7J49932,2021,bmw,2-series,FL,Ft. Pierce,37590,8258,0,Personal,1,24,33,2.0L Inline-4 Gas Turbocharged,Automatic,FWD,White,Beige
WBAFU7C50BC873230,2011,bmw,5-series,NJ,Elizabeth,12493,90891,0,Personal,2,19,29,3.0L Inline-6 Gas Turbocharged,Automatic,AWD,Silver,Black
5UXCW2C09L9A03239,2020,bmw,x7,CA,Monrovia,62999,23576,0,Personal,1,20,25,3.0L Inline-6 Gas Turbocharged,Automatic,AWD,White,Brown
WBAVA33527KX73270,2007,bmw,3-series,TX,Arlington,9900,109214,0,Personal,3,20,29,3.0L Inline-6 Gas,Automatic,RWD,White,Beige
5UXCR4C05M9E69254,2021,bmw,x5,IL,Des Plaines,57695,13846,0,Personal,1,21,26,3.0L Inline-6 Gas Turbocharged,Automatic,RWD,Black,White
WBA4J1C52KBM18785,2019,bmw,4-series,CA,El Cajon,29950,30772,0,Personal,1,24,34,2.0L Inline-4 Gas Turbocharged,Automatic,RWD,Black,Black
WBA4Z3C02L5N87908,2020,bmw,4-series,VA,Alexandria,47777,23515,0,Personal,1,22,32,2.0L Inline-4 Gas Turbocharged,Automatic,AWD,Blue,Brown
5UXKT0C54J0W02097,2018,bmw,x5,SC,Columbia,36998,40397,0,Personal,2,0,0,2.0L Inline-4 Plug-In Hybrid Turbocharged,Automatic,AWD,Gray,Unknown
WBA2J7C0XL7E34612,2020,bmw,2-series,MO,Creve Coeur,38990,66647,0,Personal,1,22,30,3.0L Inline-6 Gas Turbocharged,Automatic,AWD,Blue,Black
5UXTY3C04M9H20634,2021,bmw,x3,FL,Palm Coast,40900,32188,0,Personal,1,25,29,2.0L Inline-4 Gas Turbocharged,Automatic,RWD,Silver,Brown
WBA8E1G51GNT33572,2016,bmw,3-series,FL,St. Augustine,15402,97598,0,Personal,2,24,36,2.0L Inline-4 Gas Turbocharged,Automatic,RWD,Black,Beige
WBADX7C57BE742752,2011,bmw,3-series,FL,Jacksonville,15900,84826,1,Personal,2,19,28,3.0L Inline-6 Gas Turbocharged,Automatic,RWD,Black,Beige
WBA3A5C51DF356942,2013,bmw,3-series,TX,Addison,11989,88967,1,Fleet,2,22,34,2.0L Inline-4 Gas Turbocharged,Automatic,RWD,Blue,Black
WBA3B3C52DJ698849,2013,bmw,3-series,VA,Dumfries,12999,77256,0,Personal,2,22,33,2.0L Inline-4 Gas Turbocharged,Automatic,AWD,Black,Unknown
WBSFV9C59FD595139,2015,bmw,m5,CA,Hayward,39300,69210,2,Personal,4,14,20,4.4L V-8 Gas Turbocharged,Automatic,RWD,Gray,White
5UXTS3C52KLR72960,2019,bmw,x3,OH,Columbus,38999,52295,0,Personal,1,20,27,3.0L Inline-6 Gas Turbocharged,Automatic,AWD,Black,Black
WBAJA5C5XKWW09468,2019,bmw,5-series,GA,Marietta,32799,44953,0,Personal,1,24,34,2.0L Inline-4 Gas Turbocharged,Automatic,RWD,White,Brown
WBA73AK01M7H18887,2021,bmw,2-series,NJ,Flemington,38985,10510,0,Personal,1,23,33,2.0L Inline-4 Gas Turbocharged,Automatic,AWD,Black,Beige
WBAJA7C5XKWW32762,2019,bmw,5-series,PA,Leesport,40495,18305,0,Personal,2,23,33,2.0L Inline-4 Gas Turbocharged,Automatic,AWD,Blue,Brown
WBA3A5C59FF606995,2015,bmw,3-series,TX,Austin,16491,79370,2,Fleet,4,23,35,2.0L Inline-4 Gas Turbocharged,Automatic,RWD,Black,Beige
5UXTR9C55KLP95447,2019,bmw,x3,IL,Naperville,37977,38002,0,Personal,1,22,29,2.0L Inline-4 Gas Turbocharged,Automatic,AWD,Blue,Black
5UXKR0C59E0H25076,2014,bmw,x5,TX,Dallas,18999,116250,1,Personal,3,18,27,3.0L Inline-6 Gas Turbocharged,Automatic,AWD,Tan,Unknown
WBA4A9C59GGL88001,2016,bmw,4-series,GA,Buford,17499,84506,1,Personal,3,23,34,2.0L Inline-4 Gas Turbocharged,Automatic,RWD,Blue,Unknown
WBA5A5C52ED502206,2014,bmw,5-series,CA,Burbank,15995,94788,0,Personal,3,23,34,2.0L Inline-4 Gas Turbocharged,Automatic,RWD,Blue,Black
WBAJE7C54JWC55061,2018,bmw,5-series,AR,Bentonville,38399,30893,0,Personal,1,20,29,3.0L Inline-6 Gas Turbocharged,Automatic,AWD,White,Black
5UXUJ3C52KLG54508,2019,bmw,x4,GA,Marietta,43495,37966,1,Personal,2,22,29,2.0L Inline-4 Gas Turbocharged,Automatic,AWD,White,Red
WBAYA6C57FGK16421,2015,bmw,7-series,FL,Milton,22844,87984,0,Fleet,2,19,29,3.0L Inline-6 Gas Turbocharged,Automatic,RWD,Unknown,Unknown
5UXCR6C03N9K78331,2022,bmw,x5,PA,Lancaster,60911,7781,0,Personal,1,21,25,3.0L Inline-6 Gas Turbocharged,Automatic,AWD,Black,Beige
WBA3N7C52GK225773,2016,bmw,4-series,CT,Stamford,17995,91115,0,Personal,3,23,35,2.0L Inline-4 Gas Turbocharged,Automatic,RWD,White,Brown
WBA7T4C01LCD46943,2020,bmw,7-series,GA,LaGrange,59999,22975,1,Personal,2,20,28,3.0L Inline-6 Gas Turbocharged,Automatic,AWD,Black,Black
5UXTR9C53KLP81546,2019,bmw,x3,IA,Clive,37795,36003,0,Personal,1,22,29,2.0L Inline-4 Gas Turbocharged,Automatic,AWD,Silver,Black
3MW5P7J03N8C32319,2022,bmw,3-series,NV,Henderson,44967,14426,0,Personal,1,0,0,2.0L Inline-4 Plug-In Hybrid Turbocharged,Automatic,RWD,White,Red
WBAJA7C56KG910275,2019,bmw,5-series,NY,Bay Shore,36900,36356,0,Personal,1,23,33,2.0L Inline-4 Gas Turbocharged,Automatic,AWD,Silver,Black
5UXTY3C07M9F63228,2021,bmw,x3,TX,Dallas,37500,27732,1,Fleet,1,25,29,2.0L Inline-4 Gas Turbocharged,Automatic,RWD,White,Black
WBAJA5C56KWW01156,2019,bmw,5-series,TX,Plano,37451,34046,0,Personal,1,24,34,2.0L Inline-4 Gas Turbocharged,Automatic,RWD,White,Black
5UXCX6C0XN9L67609,2022,bmw,x7,TX,San Antonio,99962,11633,0,Personal,1,15,21,4.4L V-8 Gas Turbocharged,Automatic,AWD,Black,Brown
5UXCX6C07L9B21522,2020,bmw,x7,CO,Loveland,84343,22275,0,Personal,1,15,21,4.4L V-8 Gas Turbocharged,Automatic,AWD,Black,Black
WBA73AK07M7J04570,2021,bmw,2-series,MD,Gaithersburg,32485,38438,0,Personal,1,23,33,2.0L Inline-4 Gas Turbocharged,Automatic,AWD,Black,Black
5YMTS0C07L9C11872,2020,bmw,x3-m,NC,Kinston,60488,32128,0,Personal,1,14,19,3.0L Inline-6 Gas Turbocharged,Automatic,AWD,Black,Black
5YMTS0C00LLT11067,2020,bmw,x3-m,CA,San Luis Obispo,61585,33786,0,Personal,3,14,19,3.0L Inline-6 Gas Turbocharged,Automatic,AWD,White,White
WBAJB9C55JB049417,2018,bmw,5-series,CO,Broomfield,45988,40432,1,Personal,2,16,25,4.4L V-8 Gas Turbocharged,Automatic,AWD,Black,Black
5UXZW0C52BL372016,2011,bmw,x5,CA,Lawndale,8999,142959,2,Personal,5,19,26,3.0L Inline-6 Diesel Turbocharged,Automatic,AWD,Black,Black
WBA4C9C52GG135791,2016,bmw,4-series,NY,Nanuet,22299,66190,0,Personal,1,22,34,2.0L Inline-4 Gas Turbocharged,Automatic,AWD,Gray,Red
WBXYJ1C03N5T79056,2022,bmw,x2,MA,Milford,39977,11955,0,Personal,1,24,31,2.0L Inline-4 Gas Turbocharged,Automatic,AWD,Silver,Black
